classification,trade_count,win_rate,avg_pnl,median_pnl,total_volume,avg_volume,buy_ratio,win_rate_pct,buy_ratio_pct
Extreme Fear,21400,0.370607476635514,34.53786207897196,0.0,114484261.44,5349.7318429906545,0.5109813084112149,37.0607476635514,51.09813084112149
Fear,61837,0.42076750165758364,54.2903996254993,0.0,483324789.79,7816.109930785776,0.4895127512654236,42.07675016575836,48.951275126542356
Neutral,37686,0.3969909250119408,34.30771839807886,0.0,180242063.08,4782.732661465797,0.5033434166533991,39.69909250119408,50.33434166533991
Greed,50303,0.38482794266743536,42.74355948851957,0.0,288582494.72,5736.884375086974,0.488559330457428,38.48279426674354,48.8559330457428
Extreme Greed,39992,0.46494298859771954,67.89286133909282,0.0,124465164.57,3112.2515645629123,0.4485897179435887,46.49429885977195,44.85897179435887
