Account,total_trades,total_pnl,avg_trade_size,win_rate,extreme_fear_pct,extreme_greed_pct,buy_ratio,avg_sentiment,cross_ratio,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,16159.57673389209,0.3596123624934521,0.026191723415400735,0.24751178627553694,0.4481403876375065,53.75405971712939,0.11210057621791514,Mixed Sentiment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.320514,1653.2263269230768,0.4427197802197802,0.023351648351648352,0.11332417582417582,0.41964285714285715,52.21346153846154,0.7755494505494506,Mixed Sentiment
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,8893.000897873459,0.3019165135206091,0.20924127067471776,0.0013126804935678655,0.4111315305854555,39.40955631399317,0.6547650301916513,Mixed Sentiment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,507.6269326121253,0.43858462925400044,0.0431222297348058,0.5620163774321989,0.5032679738562091,68.77432198933214,0.9454586432274059,Mixed Sentiment
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,3138.894782340228,0.5199135535659154,0.0345785736338376,0.45631367706082127,0.36400123494905834,61.6674899660389,0.7573325100339611,Mixed Sentiment
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.599986,1729.9411042944785,0.45521472392638035,0.3226993865030675,0.19754601226993865,0.2233128834355828,43.79754601226994,0.15460122699386503,Mixed Sentiment
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,4790.5754862078575,0.32766787405962666,0.46475341320702146,0.032042351629980495,0.4591808303148509,30.92616327667874,0.07522986904430204,Fear Opportunist
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243,3445.471265060241,0.4759036144578313,0.0572289156626506,0.6204819277108434,0.5120481927710844,65.8855421686747,0.3463855421686747,Mixed Sentiment
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,5189.367127937337,0.2349869451697128,0.15926892950391644,0.2819843342036554,0.26370757180156656,53.39425587467363,0.206266318537859,Mixed Sentiment
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,2397.824753435732,0.48423605497170574,0.06386418755052546,0.012126111560226353,0.24413904607922393,53.89894907033145,0.22797089733225545,Mixed Sentiment
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,517.5289235825802,0.35344524005164923,0.04589740579880268,0.3697617091207888,0.47845991313534453,65.95480690221856,0.705716633407677,Mixed Sentiment
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,9084.699093204776,0.48622589531680444,0.2263544536271809,0.03833792470156107,0.4855371900826446,42.36730945821855,0.5580808080808081,Mixed Sentiment
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,17098.171054852322,0.3603639240506329,0.048918776371308016,0.3225210970464135,0.5501054852320675,60.472573839662445,1.0,Mixed Sentiment
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,34396.58028440667,0.40119320039228507,0.028277214776070612,0.018224910101340308,0.5204315135665251,45.983491337038245,0.7749264465511605,Mixed Sentiment
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,108731.216772,746.7256512820513,0.4317948717948718,0.14666666666666667,0.1753846153846154,0.3723076923076923,50.012307692307694,0.961025641025641,Mixed Sentiment
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,429355.565915,7216.667245283019,0.34591194968553457,0.320125786163522,0.061635220125786164,0.37610062893081764,45.82641509433962,0.07735849056603773,Mixed Sentiment
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,360539.510029,2080.390077247191,0.30337078651685395,0.15519662921348315,0.15941011235955055,0.44452247191011235,50.03300561797753,0.0028089887640449437,Mixed Sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.406711,2600.7780491256444,0.8108763772364298,0.03194177701405034,0.3872435055089457,0.4982310724754877,62.944910542808046,0.3174972202567472,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,14900.443047,3748.8675112251444,0.45221295702373315,0.5291853752405388,0.001924310455420141,0.44323284156510584,27.763951250801796,0.09557408595253368,Fear Opportunist
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-167621.124781,2204.6855314062163,0.38274288198217776,0.03455770484677244,0.021299717452727667,0.49163225385785697,50.056726798522064,0.14953271028037382,Mixed Sentiment
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,65513.657906,6279.002286760858,0.33019361590790164,0.02564102564102564,0.04186289900575615,0.6043956043956044,53.02564102564103,0.9403453689167975,Mixed Sentiment
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,43917.008976,820.4285131350847,0.26196826243499133,0.035938125083344444,0.26576876916922254,0.46432857714361914,64.20642752366982,0.7810374716628884,Mixed Sentiment
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,126578.942134,3601.689298820446,0.2853866317169069,0.022280471821756225,0.5075360419397117,0.6893840104849279,70.54390563564876,0.9282437745740498,FOMO Trader
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875256,1273.1950003204101,0.3457866068567767,0.01730214674783723,0.22409484139698815,0.6397308554950336,59.14745273950657,0.10471002883691125,Mixed Sentiment
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,72846.484272,2066.6892086330936,0.5731414868105515,0.011990407673860911,0.6139088729016786,0.37410071942446044,70.9832134292566,0.60431654676259,Consistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,67845.619531,2979.4417761989343,0.40852575488454707,0.14209591474245115,0.33747779751332146,0.5896980461811723,56.51687388987567,1.0,Mixed Sentiment
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,21758.831753,8330.193370786517,0.32209737827715357,0.031835205992509365,0.009363295880149813,0.5692883895131086,35.09925093632959,0.0599250936329588,Mixed Sentiment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2143382.597689,3837.885375008484,0.3371343243059798,0.05015950587117356,0.11151836014389466,0.4549650444580194,54.610941424014115,0.8418516256023892,Mixed Sentiment
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22488.500821,22504.555828854896,0.4386109962794543,0.32596114096734186,0.0,0.48945845390657294,28.20008267879289,0.867920628358826,Fear Opportunist
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,940163.80622,3210.472831257078,0.46758210645526616,0.21140052850132127,0.0,0.528265383163458,32.08012457531144,0.32639675349188374,Fear Opportunist
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,220519.061853,7852.098337750852,0.32752745172283226,0.1465354032563423,0.11737978038621734,0.45172283226050736,44.08254449072321,0.3578190079515335,Mixed Sentiment
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,836080.553077,1844.2118863229146,0.428230141349791,0.12639358948835358,0.16730539518216206,0.43333167429822816,47.93149014533147,0.7486810670913796,Mixed Sentiment
