archetype,count,avg_pnl,med_pnl,win_rate,avg_size,cross_ratio
Mixed Sentiment,25,347358.2578706,132464.814554,0.3815840185244068,5987.073373276706,0.5297699831049456
Fear Opportunist,4,248002.41735600002,18694.471934,0.4215184834545201,8563.617914386245,0.34128033421188636
Consistent Winner,2,225970.94549150002,225970.94549150002,0.6920089320234907,2333.733628879369,0.4609068835096686
FOMO Trader,1,126578.942134,126578.942134,0.2853866317169069,3601.689298820446,0.9282437745740498
